Node name,Description,Latitude,Longitude,No of Venues,Mean distance,PVOUT
K.D.A-33,"""power""=>""substation"",""operator""=>""HESCO""",24.9789087,67.1575119,1,6003,4.69
KANUPP 2&3,"""power""=>""plant""",24.8529623,66.7726266,4,5707.5,4.69
KANUPP-1,"""power""=>""generator"",""generator:method""=>""fission"",""generator:source""=>""nuclear"",""generator:output:electricity""=>""85 KW"",""generator:output:electricity_old""=>""125 MW""",24.8451838,66.7889223,7,7183.428571,4.69
KESC Korangi Gas Power Plant,"""power""=>""generator"",""generator:method""=>""thermal"",""generator:source""=>""gas"",""generator:output:electricity""=>""35 MW""",24.8491964,67.1447414,3,14387,4.69
KESC Korangi Power Plant,"""power""=>""generator"",""generator:method""=>""thermal"",""generator:source""=>""gas"",""generator:output:electricity""=>""200 MW""",24.785034,67.1396766,1,4474,4.69
KESC SITE Gas Power Plant,"""power""=>""generator"",""generator:method""=>""thermal"",""generator:source""=>""gas"",""generator:output:electricity""=>""120 MW""",24.9129177,66.9922463,5,8687.8,4.69
Kapco 1638 MW,"""power""=>""sub_station"",""operator""=>""NTDC""",30.4461358,70.9792678,90,9534.8,4.325
Kassowal,"""power""=>""substation""",30.4868207,72.5327832,0,14593.5,4.2
Khan Khwar Hydropower Project,"""power""=>""plant"",""operator""=>""WAPDA"",""start_date""=>""8.11.2010"",""plant:output:electricity""=>""130 MW""",34.9022281,72.8076509,0,14593.5,3.67
Khuzdar,"""power""=>""sub_station""",27.7630312,66.6262466,0,14593.5,5.27
Kohinoor Power Plant,"""power""=>""generator"",""generator:method""=>""thermal"",""generator:source""=>""oil"",""generator:output:electricity""=>""130 MW""",31.2620873,74.1860121,11,10864.54545,4.2
Kot Addu Power Plant,"""power""=>""plant"",""wikipedia""=>""en:Kot Addu Power Company"",""generator:method""=>""thermal"",""generator:source""=>""oil;gas"",""plant:output:electricity""=>""1.6 GW""",30.4429255,70.9770377,2,12117,4.2
LESCO Grid Station,"""power""=>""substation""",31.489185,74.3099622,0,14593.5,4.2
Lahore,"""power""=>""sub_station""",31.6517316,74.0363875,2,11688,4.2
Lakhra Coal Power Plant,"""power""=>""plant"",""operator""=>""Water & Power Development Authority (WAPDA)"",""generator:method""=>""thermal"",""generator:source""=>""coal"",""plant:output:electricity""=>""150 MW""",25.7016284,68.2890621,0,14593.5,4.69
Lalpir Power Limited,"""power""=>""substation"",""capacity""=>""362MW"",""substation""=>""Oil-fired_thermal""",30.1749094,70.9917108,0,14593.5,4.367
Lalsohanra,"""power""=>""substation"",""voltage""=>""132000"",""operator""=>""NTDC""",29.4632593,71.9683982,20,8025.95,4.46
Loralai,"""power""=>""substation""",30.3537368,68.5959398,0,14593.5,5.31
MEPCO,"""power""=>""generator""",29.6984958,72.5586949,6,8364.294872,4.46
Mangla Dam,"""power""=>""plant"",""name:de""=>""Mangla-Talsperre"",""name:en""=>""Mangla Dam"",""name:ur""=>""Å®â€¦Å®â€ ÃšÅ»Å®â€žÅ˜Â§ Å˜Â¨Å®â€ Å˜Å»"",""end_date""=>""1967"",""start_date""=>""1966"",""plant:output:electricity""=>""1000 MW""",33.1535371,73.6354367,3,7091,4.14
Mardan,"""power""=>""substation"",""voltage""=>""220000"",""operator""=>""NTDC""",34.1601891,72.0319833,1,13346,4.2
Master 01,"""power""=>""generator"",""power_source""=>""wind""",25.0112941,67.6524209,1,5472,4.69
Multan,"""power""=>""sub_station""",30.2476031,71.614147,3,10720,4.35
Muzaffargarh,"""power""=>""sub_station"",""access""=>""no"",""voltage""=>""220000"",""operator""=>""NTDC""",30.0994922,71.1676755,1,2600,4.2
N.K.I,"""power""=>""sub_station"",""voltage""=>""500000"",""substation""=>""yes""",24.9747393,66.9254917,1,1888,4.69
New Dadu,"""power""=>""sub_station""",26.7157408,67.7427737,1,12778,4.69
New Kot Lakhpat,"""power""=>""substation""",31.5078869,74.3306065,5,10843.6,4.2
Nishat Power Limited,"""power""=>""substation"",""capacity""=>""200 MW""",31.1253385,73.9016529,20,10106.7,4.2
Okara,"""power""=>""substation"",""voltage""=>""220000"",""operator""=>""NTDC""",30.8032812,73.4625386,4,10696.5,4.2
P G,"""power""=>""generator""",34.5191787,71.9189424,4.28,9340.75,4.25
PESHAWAR,"""power""=>""substation"",""operator""=>""TESCO""",33.9320623,71.5429282,4,6910,4.25
Pasni Power House,"""power""=>""substation""",25.2942045,63.4365257,0,14593.5,4.69
Peshawar,"""power""=>""sub_station""",33.9261953,71.5437783,4,13104.75,4.25
Power Grid Station,"""power""=>""generator""",34.6073784,73.1199198,1,9056,4.539
Power House (North Karachi),"""power""=>""substation""",24.9858088,67.0633244,1,347,4.69
Power Station,"""power""=>""substation""",35.4684787,75.3569257,4,4165.75,3.6
Power Station Rousch,"""power""=>""plant"",""generator:method""=>""thermal"",""generator:source""=>""gas"",""plant:output:electricity""=>""450 MW""",30.5692822,72.1364602,67,9221.865672,4.39
Power line,"""power""=>""line""",31.5270582,73.343587,4,11582.75,4.2
Quaid-e-Azam Solar Power Plant,"""power""=>""generator"",""operator""=>""QA Solar Power Ltd"",""generator:type""=>""solar_photovoltaic_panel"",""generator:method""=>""photovoltaic"",""generator:source""=>""solar"",""generator:output:hot_water""=>""100MW""",29.3237879,71.8173648,84,6759.738095,4.46
